date,time_aest,bearing_deg,alignment,kp,field_state,surface,lead,subject,notes
2026-08-03,07:40,102,BROKEN,2.67,quiet,street,on-lead,001,first reading
2026-08-04,07:08,59,BROKEN,1.00,quiet,street,on-lead,001,
2026-08-04,07:17,161,BROKEN,1.00,quiet,street,on-lead,001,marginal 19 deg off S
2026-08-05,15:12,154,BROKEN,0.67,quiet,beach path,on-lead,001,coastal path runs NNW-SSE
2026-08-06,07:58,260,BROKEN,0.67,quiet,street,on-lead,001,maximum possible deviation from N-S axis
2026-08-07,07:11,180,ALIGNED,0.33,quiet,park,off-lead,001,first off-lead reading, exact due south
2026-08-07,20:10,337,BROKEN,1.67,quiet,park,off-lead,001,first evening reading, 23 deg off N
2026-08-08,07:35,160,BROKEN,0.33,quiet,street,on-lead,001,20 deg off S, would have counted under original window
2026-08-08,16:12,101,BROKEN,1.67,quiet,open field,off-lead,001,no photograph
2026-08-08,16:27,6,ALIGNED,1.67,quiet,open field,off-lead,001,second event 15 min after first
2026-08-09,07:49,4,ALIGNED,5.67,storm,grass,on-lead,001,first geomagnetic storm on record, aligned during disturbance
2026-08-09,08:00,323,BROKEN,5.67,storm,grass,on-lead,001,second storm event 11 min after first, 41 deg apart
